title,year,certificate,duration,genre,rating,votes
Cobra Kai,(2018– ),TV-14,30 min,"Action, Comedy, Drama",8.5,"177,031"
The Crown,(2016– ),TV-MA,58 min,"Biography, Drama, History",8.699999809265137,"199,885"
Better Call Saul,(2015–2022),TV-MA,46 min,"Crime, Drama",8.899999618530273,"501,384"
Devil in Ohio,(2022),TV-MA,356 min,"Drama, Horror, Mystery",5.900000095367432,"9,773"
Cyberpunk: Edgerunners,(2022– ),TV-MA,24 min,"Animation, Action, Adventure",8.600000381469727,"15,413"
The Sandman,(2022– ),TV-MA,45 min,"Drama, Fantasy, Horror",7.800000190734863,"116,358"
Rick and Morty,(2013– ),TV-MA,23 min,"Animation, Adventure, Comedy",9.199999809265137,"502,160"
Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,"1,831,340"
The Imperfects,(2022– ),TV-MA,45 min,"Action, Adventure, Drama",6.300000190734863,"3,123"
Blonde,(2022),NC-17,166 min,"Biography, Drama, Mystery",6.199999809265137,935
Stranger Things,(2016– ),TV-14,51 min,"Drama, Fantasy, Horror",8.699999809265137,"1,149,889"
End of the Road,(II) (2022),R,89 min,"Action, Crime, Drama",4.699999809265137,"5,122"
The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",8.100000381469727,"970,060"
Glass Onion: A Knives Out Mystery,(2022),PG-13,139 min,"Crime, Drama, Mystery",8.100000381469727,547
Do Revenge,(2022),TV-MA,118 min,Comedy,6.400000095367432,"13,457"
I Came By,(2022),TV-MA,110 min,Thriller,6.099999904632568,"16,230"
No Limit,(2022),TV-MA,118 min,"Drama, Romance, Sport",5.800000190734863,"1,695"
1899,(2022– ),,60 min,"Drama, History, Horror",9.600000381469727,853
Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.800000190734863,"531,058"
Fate: The Winx Saga,(2021– ),TV-MA,,"Action, Adventure, Drama",6.900000095367432,"43,179"
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama",8.800000190734863,"1,844,055"
Grey's Anatomy,(2005– ),TV-14,41 min,"Drama, Romance",7.599999904632568,"303,617"
Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.399999618530273,"439,597"
American Horror Story,(2011– ),TV-MA,60 min,"Drama, Horror, Sci-Fi",8.0,"312,970"
The Accidental Narco,(2022– ),TV-MA,50 min,"Action, Biography, Crime",7.400000095367432,"2,056"
NCIS,(2003– ),TV-14,60 min,"Action, Crime, Drama",7.800000190734863,"145,895"
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.899999618530273,"979,424"
Shameless,(2011–2021),TV-MA,46 min,"Comedy, Drama",8.600000381469727,"239,541"
Modern Family,(2009–2020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,"423,963"
Ozark,(2017–2022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,"309,552"
Echoes,(2022),TV-MA,326 min,"Drama, Mystery, Thriller",5.900000095367432,"9,380"
