show_id,type,title,country,date_added,release_year,rating,duration,listed_in
s1,TV Show,3%,Brazil,2020-08-14,2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s6,TV Show,46,Turkey,2017-07-01,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
s12,TV Show,1983,"Poland, United States",2018-11-30,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s13,TV Show,1994,Mexico,2019-05-17,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s17,TV Show,Feb-09,,2019-03-20,2018,TV-14,1 Season,"International TV Shows, TV Dramas"
s25,TV Show,?SAINT SEIYA: Knights of the Zodiac,Japan,2020-01-23,2020,TV-14,2 Seasons,"Anime Series, International TV Shows"
s27,TV Show,(Un)Well,United States,2020-08-12,2020,TV-MA,1 Season,Reality TV
s30,TV Show,#blackAF,United States,2020-04-17,2020,TV-MA,1 Season,TV Comedies
s39,TV Show,???????????????????,,2019-03-30,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s46,TV Show,Subat,Turkey,2017-01-17,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s52,TV Show,100 Days My Prince,South Korea,2020-12-07,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s54,TV Show,100 Humans,United States,2020-03-13,2020,TV-14,1 Season,"Docuseries, Science & Nature TV"
s59,TV Show,100% Hotter,United Kingdom,2019-11-01,2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV"
s62,TV Show,12 Years Promise,South Korea,2017-05-22,2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s64,TV Show,13 Reasons Why,United States,2020-06-05,2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries"
s65,TV Show,13 Reasons Why: Beyond the Reasons,United States,2019-08-23,2019,TV-MA,3 Seasons,"Crime TV Shows, Docuseries"
s81,TV Show,20 Minutes,Turkey,2017-08-15,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s86,TV Show,21 Again,United Kingdom,2020-07-01,2019,TV-MA,1 Season,"British TV Shows, Reality TV"
s87,TV Show,21 Sarfarosh: Saragarhi 1897,India,2018-12-01,2018,TV-14,1 Season,"International TV Shows, TV Dramas"
s88,TV Show,21 Thunder,Canada,2018-03-01,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s96,TV Show,28 Moons,South Korea,2017-06-10,2016,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s109,TV Show,3Below: Tales of Arcadia,United States,2019-07-12,2019,TV-Y7,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
s112,TV Show,44 Cats,Italy,2020-10-01,2018,TV-Y7,2 Seasons,Kids' TV
