week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10
2026-08-23,TV (English),1,Outer Banks,Outer Banks: Season 5,80600000,8.533300399780273,9400000.0,1
2026-08-23,TV (English),2,My Brilliant Career,My Brilliant Career: Season 1,21800000,4.633299827575684,4700000.0,2
2026-08-23,TV (English),3,My Life With the Walter Boys,My Life With the Walter Boys: Season 3,33900000,7.866700172424316,4300000.0,3
2026-08-23,TV (English),4,Conversations with a Killer: The Charles Manson Tapes,Conversations with a Killer: The Charles Manson Tapes: Season 1,8800000,2.8833000659942627,3100000.0,2
2026-08-23,TV (English),5,Tires,Tires: Season 3,13800000,4.933300018310547,2800000.0,2
2026-08-23,TV (English),6,Raw,"Raw: August 17, 2026",5000000,1.7999999523162842,2700000.0,1
2026-08-23,TV (English),7,I Will Find You,I Will Find You: Limited Series,13800000,5.48330020904541,2500000.0,10
2026-08-23,TV (English),8,Seal Team,Seal Team: Season 1,36400000,15.73330020904541,2300000.0,1
2026-08-23,TV (English),9,Danny Go!,Danny Go!: Season 1,4000000,2.0332999229431152,2000000.0,9
2026-08-23,TV (English),10,The Idaho Murders: College Nightmare,The Idaho Murders: College Nightmare: Season 1,4000000,2.233299970626831,1800000.0,4
2026-08-23,TV (Non-English),1,Blood Sacrifice,Blood Sacrifice: Season 1,29300000,4.183300018310547,7000000.0,1
2026-08-23,TV (Non-English),2,Our Sticky Love,Our Sticky Love: Limited Series,43300000,11.73330020904541,3700000.0,3
2026-08-23,TV (Non-English),3,Umthetho,Umthetho: Season 1,18500000,5.349999904632568,3500000.0,2
2026-08-23,TV (Non-English),4,Spooky in Love,Spooky in Love: Limited Series,33900000,12.616700172424316,2700000.0,6
2026-08-23,TV (Non-English),5,Moria,Moria: Season 1,10900000,4.883299827575684,2200000.0,2
2026-08-23,TV (Non-English),6,Operation Safed Sagar: The Highest Air Force Mission,Operation Safed Sagar: The Highest Air Force Mission: Season 1,10800000,5.533299922943115,2000000.0,3
2026-08-23,TV (Non-English),7,Badly in Love,Badly in Love: Season 2,15700000,8.216699600219727,1900000.0,3
2026-08-23,TV (Non-English),8,My Daughter's Father,My Daughter's Father: Season 1,9700000,7.283299922943115,1300000.0,5
2026-08-23,TV (Non-English),9,The Apartment Job,The Apartment Job: Limited Series,14400000,12.850000381469727,1100000.0,5
2026-08-23,TV (Non-English),10,Teach You a Lesson,Teach You a Lesson: Limited Series,11900000,10.683300018310547,1100000.0,10
2026-08-16,TV (English),1,My Life With the Walter Boys,My Life With the Walter Boys: Season 3,68500000,7.866700172424316,8700000.0,2
2026-08-16,TV (English),2,Conversations with a Killer: The Charles Manson Tapes,Conversations with a Killer: The Charles Manson Tapes: Season 1,14000000,2.8833000659942627,4900000.0,1
