show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
Stranger Things,8.699999809265137,1149902,5844980000,369000000.0,34,7096153.846153846,0.0,0.0,96.05203779709996,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4389614.035507185,6753252.362318747,9454553.307246245,16883130.905796867,,,,,Shortlist for rights and cost research
Avatar: The Last Airbender,9.300000190734863,309241,747100000,102500000.0,12,794230.7692307692,400000.0,0.5036319612590799,95.57820531380052,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4370364.590873146,6723637.832112533,9413092.964957546,16809094.580281332,,,,,Shortlist for rights and cost research
The Witcher,8.199999809265137,481841,1250500000,83400000.0,18,353846.1538461539,0.0,0.0,93.50650296747864,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4286201.683053819,6594156.435467415,9231819.00965438,16485391.088668536,,,,,Shortlist for rights and cost research
The Crown,8.699999809265137,199898,677260000,43900000.0,18,0.0,0.0,,93.47025890883333,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4284729.268171354,6591891.181802083,9228647.654522914,16479727.954505207,,,,,Shortlist for rights and cost research
Ozark,8.5,309552,751600000,,13,0.0,0.0,,93.39094472924654,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4281507.129625641,6586934.045577909,9221707.663809072,16467335.113944773,,,,,Shortlist for rights and cost research
Money Heist,8.199999809265137,469640,1185400000,1500000.0,16,0.0,0.0,,93.32973420284962,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4279020.4519907655,6583108.387678101,9216351.74274934,16457770.969195252,,,,,Shortlist for rights and cost research
Squid Game,8.0,435164,5048300000,396900000.0,42,0.0,0.0,,93.27838567469378,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4276934.418034435,6579899.104668361,9211858.746535705,16449747.761670902,,,,,Shortlist for rights and cost research
Black Mirror,8.800000190734863,535785,331600000,60100000.0,9,0.0,0.0,,92.95602521356933,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4263838.524301255,6559751.575848084,9183652.206187317,16399378.93962021,,,,,Shortlist for rights and cost research
Cobra Kai,8.5,177031,963960000,57900000.0,18,0.0,0.0,,92.9124054050173,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4262066.469578828,6557025.337813581,9179835.472939013,16392563.344533954,,,,,Shortlist for rights and cost research
Sex Education,8.399999618530273,273671,901760000,42200000.0,12,0.0,0.0,,92.84840707512299,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4259466.537426871,6553025.442195186,9174235.61907326,16382563.605487965,,,,,Shortlist for rights and cost research
Arcane,9.0,196697,317910000,34800000.0,12,0.0,0.0,,92.41891038067749,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4242018.234215023,6526181.898792343,9136654.658309279,16315454.746980857,,,,,Shortlist for rights and cost research
You,7.699999809265137,234218,1542990000,35900000.0,20,0.0,0.0,,91.00673990367817,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4184648.8085869257,6437921.243979885,9013089.741571838,16094803.109949714,,,,,Shortlist for rights and cost research
Prison Break,8.300000190734863,529304,478300000,32400000.0,6,0.0,0.0,,90.92862677304032,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4181475.462654763,6433039.173315019,9006254.842641026,16082597.933287548,,,,,Shortlist for rights and cost research
Maid,8.399999618530273,81102,669470000,,14,0.0,0.0,,90.6837435963252,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4171527.0836007115,6417733.974770325,8984827.564678455,16044334.936925814,,,,,Shortlist for rights and cost research
The Gentlemen,7.800000190734863,331508,462400000,69500000.0,10,0.0,0.0,,90.22961472519357,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4153078.098210989,6389350.920324598,8945091.288454438,15973377.300811496,,,,,Shortlist for rights and cost research
The Umbrella Academy,7.900000095367432,243344,544830000,23000000.0,10,0.0,0.0,,90.17062019735891,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4150681.4455177058,6385663.762334932,8939929.267268904,15964159.40583733,,,,,Shortlist for rights and cost research
The Lincoln Lawyer,7.300000190734863,238378,1125770000,109300000.0,24,507692.3076923077,0.0,0.0,89.77367767842381,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4134555.6556859673,6360854.854901488,8905196.796862083,15902137.13725372,,,,,Shortlist for rights and cost research
Lucifer,8.100000381469727,318933,351030000,,7,0.0,0.0,,89.59793046562287,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4127415.925165929,6349870.654101429,8889818.915741999,15874676.635253571,,,,,Shortlist for rights and cost research
Bridgerton,7.300000190734863,133119,3234810000,350400000.0,35,2865384.6153846155,0.0,0.0,89.57055873645163,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4126303.9486683477,6348159.921028227,8887423.889439516,15870399.802570567,,,,,Shortlist for rights and cost research
The Sandman,7.800000190734863,116393,571340000,24700000.0,12,0.0,0.0,,89.44313014040632,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4121127.161954007,6340195.633775395,8876273.887285553,15850489.084438488,,,,,Shortlist for rights and cost research
Peaky Blinders,8.800000190734863,531058,185340000,,5,0.0,0.0,,89.18213414678205,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4110524.199713021,6323883.3841738785,8853436.73784343,15809708.460434696,,,,,Shortlist for rights and cost research
Lupin,7.5,105218,402940000,71800000.0,11,0.0,0.0,,87.63203808210915,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4047551.5470856843,6227002.380131822,8717803.332184551,15567505.950329555,,,,,Shortlist for rights and cost research
Elite,7.400000095367432,77113,567770000,21100000.0,22,0.0,0.0,,87.5071557593285,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4042478.2027227203,6219197.234958031,8706876.128941244,15547993.087395078,,,,,Shortlist for rights and cost research
Never Have I Ever,7.900000095367432,56218,532350000,24300000.0,11,0.0,0.0,,87.36845474409279,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4036843.47397877,6210528.4215057995,8694739.790108118,15526321.0537645,,,,,Shortlist for rights and cost research
Outer Banks,7.599999904632568,48115,1356210000,61200000.0,21,180769.23076923078,2350000.0,13.0,87.23365039814072,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4031367.047424467,6202103.149883795,8682944.409837311,15505257.874709487,,,,,Shortlist for rights and cost research
