show_title,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,licence_cost_gbp,netflix_uk_title_audience
Stranger Things,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Avatar: The Last Airbender,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Witcher,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Crown,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Ozark,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Money Heist,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Squid Game,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Black Mirror,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Cobra Kai,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Sex Education,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Arcane,,,,Unconfirmed,Current UK platform unverified,Research required,,,
You,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Prison Break,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Maid,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Gentlemen,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Umbrella Academy,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Lincoln Lawyer,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Lucifer,,,,Unconfirmed,Current UK platform unverified,Research required,,,
Bridgerton,,,,Unconfirmed,Current UK platform unverified,Research required,,,
The Sandman,,,,Unconfirmed,Current UK platform unverified,Research required,,,
